ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
11757,JF4016,"DSM 22022, CCUG 57335",1,Basfia succiniciproducens,2593339214,microaerophile
,,,,,653940.3,
,,,,,GCA_011455875,
,,,,,GCA_900101275,
130149,JF4266,"DSM 24701, CIP 110308",1,Basilea psittacipulmonis,1072685.4,microaerophile
,,,,,1072685.5,
,,,,,2597490181,
,,,,,2914311346,
,,,,,GCA_000743945,
,,,,,GCA_002003525,
5363,,"DSM 19936, CCUG 55508, WCC 4188",1,Bavariicoccus seileri,1121105.4,microaerophile
,,,,,2523533538,
,,,,,GCA_000421665,
11747,"A92, S110, serovar 3/T15, CNP 908","DSM 23101, ATCC 29703, CCUG 27190, CIP 103829, NCTC 10370, CCM 4733, HIM 808-2",1,Bibersteinia trehalosi,2784746803,microaerophile
,,,,,47735.17,
,,,,,GCA_004346205,
132454,LMM_E3,"DSM 100216, JCM 30801",1,Bifidobacterium eulemuris,1765219.3,microaerophile
,,,,,1765219.7,
,,,,,2791355248,
,,,,,GCA_002259685,
,,,,,GCA_014898155,
159320,,"DSM 103362, JCM 31788, MRM 9.3",1,Bifidobacterium jacchi,GCA_009078285,microaerophile
160296,,"DSM 106029, SMA 15, BCRC 81224, NBRC 114051",1,Bifidobacterium platyrrhinorum,GCA_010667645,microaerophile
,,,,,WHZV00000000,
160002,,"DSM 106020, SMA 1, BCRC 81223, NBRC 114049",1,Bifidobacterium saimiriisciurei,GCA_010667655,microaerophile
,,,,,WHZU00000000,
24299,"98-D-690B, M327/99/2, M327/99/2T","DSM 28231, CCUG 43067, NCTC 13475, CIP 106354",1,Bisgaardia hudsonensis,109472.3,microaerophile
,,,,,2795385461,
,,,,,GCA_004345785,
,,,,,GCA_013377195,
156388,,CCUG 61487,0,Blastococcus sp.,1840703.3,microaerophile
,,,,,2894877226,
,,,,,GCA_005222955,
1770,2017-12,"DSM 11294, CCUG 39178, HKI 88, JCM 11479, ATCC 700413, CIP 105404, NBRC 106158, HKI 0088",1,Bogoriella caseilytica,2781126043,microaerophile
,,,,,56055.3,
,,,,,GCA_003752405,
149679,,"CCUG 38168, ATCC 9340, NCTC 8474",0,Bordetella pertussis,520.996,microaerophile
379,"1779, 22-93","DSM 11334, CCUG 32381, LMG 13506, CIP 105351",1,Bordetella trematum,123899.5,microaerophile
,,,,,GCA_900078335,
14305,VS 461,"DSM 10508, ATCC 51567, CIP 103469",1,Borrelia afzelii,2861437327,microaerophile
,,,,,29518.17,
,,,,,GCA_014202295,
14302,B31,"DSM 4680, ATCC 35210, CIP 102532",1,Borrelia burgdorferi,139.81,microaerophile
,,,,,224326.49,
,,,,,224326.71,
,,,,,224326.72,
,,,,,224326.73,
,,,,,224326.74,
,,,,,224326.75,
,,,,,224326.76,
,,,,,224326.77,
,,,,,224326.78,
14310,"CA446, CA 446","DSM 17989, ATCC BAA-2689, CIP 109133",1,Borrelia californiensis,2861252286,microaerophile
,,,,,373543.8,
