ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
5459,"Acidiplasma aeolicum","DSM 18409, JCM 14615","Hydrothermal pool on Vulcano Island###hydrothermal pool (sand/gravel)",Italy,Europe,#Condition,"#Thermophilic (>45°C)",
5459,,,,,,#Environmental,#Terrestrial,
5459,,,,,,#Environmental,#Aquatic,
5459,,,,,,#Condition,"#Thermophilic (>45°C)",
5459,,,,,,#Environmental,#Terrestrial,
5459,,,,,,#Environmental,#Aquatic,
5460,"Acidiplasma cupricumulans","DSM 16651, JCM 13668","Industrial mineral sulphide bioleach heap in Myanmar###mineral sulfide ore, Monywa Minesite",Myanmar,Asia,#Condition,#Sulfuric,
5460,,,,,,#Environmental,#Terrestrial,
5460,,,,,,#Condition,#Sulfuric,
5460,,,,,,#Environmental,#Terrestrial,
130545,"Acidipropionibacterium damnosum","DSM 25450, CECT 8062","spoiled packaged Spanish-style green olives",Spain,Europe,"#Host Body-Site",#Plant,"#Fruit (Seed)"
130545,,,,,,#Environmental,"#Microbial community",
130545,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
130544,"Acidipropionibacterium olivae","DSM 25436, CECT 8061, KCTC 15514","From spoiled packaged Spanish-style green olives###spoiled packaged Spanish-style green olives",Spain,Europe,"#Host Body-Site",#Plant,"#Fruit (Seed)"
130544,,,,,,#Environmental,"#Microbial community",
130544,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
130544,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
130544,,,,,,#Environmental,"#Microbial community",
130544,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
81,"Acidisoma tundrae","DSM 19999, VKM B-2488","wetland###acidic oligotrophic <i>Sphagnum</i>-dominated wetland",Russia,Asia,#Environmental,#Terrestrial,"#Wetland (Swamp)"
81,,,,,,#Condition,#Acidic,
81,,,,,,#Host,#Plants,"#Peat moss"
81,,,,,,#Environmental,#Terrestrial,"#Wetland (Swamp)"
81,,,,,,#Condition,#Acidic,
81,,,,,,#Host,#Plants,"#Peat moss"
67,"Acidisphaera rubrifaciens","DSM 16009, JCM 10600","Hot spring water###surface water and sediment from an acidic hot spring",Japan,Asia,#Condition,#Acidic,
67,,,,,,#Environmental,#Aquatic,"#Thermal spring"
67,,,,,,#Environmental,#Aquatic,"#Surface water"
67,,,,,,#Environmental,#Aquatic,#Sediment
67,,,,,,#Condition,#Acidic,
67,,,,,,#Environmental,#Aquatic,"#Thermal spring"
67,,,,,,#Environmental,#Aquatic,"#Surface water"
67,,,,,,#Environmental,#Aquatic,#Sediment
17890,"Aciditerrimonas ferrireducens","DSM 45281, JCM 15389","Solfataric field in Hakone###solfataric soil",Japan,Asia,#Environmental,#Terrestrial,#Volcanic
17890,,,,,,#Environmental,#Terrestrial,#Soil
17890,,,,,,#Environmental,#Terrestrial,#Volcanic
17890,,,,,,#Environmental,#Terrestrial,#Soil
128,"Acidithiobacillus albertensis","DSM 14366, ATCC 35403","acidic soil at sulfur stockpile",Canada,"North America",#Condition,#Sulfuric,
128,,,,,,#Condition,#Acidic,
128,,,,,,#Environmental,#Terrestrial,#Soil
130138,"Acidithiobacillus ferridurans","DSM 29468, ATCC 33020, JCM 18981","Ore from Ningyo-toge mine###ore, uranium mine",Japan,Asia,#Environmental,#Terrestrial,#Geologic
130138,,,,,,#Engineered,#Other,#Mine
130138,,,,,,#Environmental,#Terrestrial,#Geologic
130138,,,,,,#Engineered,#Other,#Mine
132357,"Acidithiobacillus ferriphilus","DSM 100412, JCM 30830","Stream at Galway's soufriere###An acidic pool in a geothermal area of Montserrat###acidic pool in a geothermal area","United Kingdom",Europe,#Environmental,#Aquatic,
132357,,,,,,#Condition,#Acidic,
132357,,,,,,#Environmental,#Aquatic,
132357,,,,,,#Condition,#Acidic,
132357,,,,,,#Environmental,#Aquatic,
132357,,,,,,#Condition,#Acidic,
119,"Acidithiobacillus ferrivorans","DSM 17398","sediment sample",Russia,Asia,#Environmental,#Aquatic,#Sediment
119,,,,,,#Environmental,#Terrestrial,#Sediment
129,"Acidithiobacillus ferrivorans","DSM 22755, JCM 15606","Copper mine spoil drainage in Norway###acid mine drainage",Norway,Europe,#Condition,#Acidic,
129,,,,,,#Environmental,#Aquatic,
129,,,,,,#Engineered,#Other,#Mine
129,,,,,,#Condition,#Acidic,
129,,,,,,#Environmental,#Aquatic,
129,,,,,,#Engineered,#Other,#Mine
114,"Acidithiobacillus ferrooxidans","DSM 1927","mine water",Austria,Europe,#Environmental,#Aquatic,
114,,,,,,#Engineered,#Other,#Mine
115,"Acidithiobacillus ferrooxidans","DSM 9464","chalcocite overburden pond",Australia,"Australia and Oceania",#Environmental,#Terrestrial,#Geologic
115,,,,,,#Environmental,#Aquatic,"#Pond (small)"
116,"Acidithiobacillus ferrooxidans","DSM 9465","mine shaff water sample",Australia,"Australia and Oceania",#Environmental,#Aquatic,
116,,,,,,#Engineered,#Other,#Mine
117,"Acidithiobacillus ferrooxidans","DSM 11477","mine drainage water",Peru,"Middle and South America",#Environmental,#Aquatic,
117,,,,,,#Engineered,#Other,#Mine
